driver_id,total_fare,avg_distance
7,120.14,25.41
54,62.59,10.68
69,247.82999999999998,23.335
73,147.45,10.67
64,126.30000000000001,12.16
3,131.19,27.369999999999997
30,276.82,38.849999999999994
34,92.09,22.505
8,86.17,38.06
22,57.86,7.75
35,61.95,29.67
16,63.4,31.24
71,58.63,24.22
98,127.56,42.7
96,104.82,7.53
5,7.02,46.74
100,46.1,9.32
18,14.69,45.48
70,163.97,42.65
61,189.17,18.695
27,107.01,45.87
75,34.62,42.11
26,79.57,27.14
78,93.32,5.43
89,32.7,31.78
6,67.9,34.5
90,72.19,8.65
19,27.26,27.26
41,85.63,29.03
55,153.57999999999998,31.755000000000003
95,210.5,23.87
38,37.82,7.71
25,160.85000000000002,26.19333333333333
82,123.27,19.91
53,57.88,12.72
58,15.74,13.96
81,84.95,11.205000000000002
48,14.69,40.26
97,76.87,29.0
84,93.14,20.56
79,218.14999999999998,24.310000000000002
24,137.92000000000002,29.356666666666666
9,119.72,21.51
32,7.09,19.15
36,93.47,15.67
10,85.9,19.86
49,146.69,31.13
62,58.88,18.7
83,128.81,16.88
13,207.29,9.92
21,32.55,29.21
91,62.35,39.8
94,198.05,34.975
72,43.07,14.04
76,149.69,25.025
80,56.63,7.46
50,134.89,25.09
57,32.03,48.0
